ncalls,tottime,percall,cumtime,percall,filename:lineno(function),,,,,,,
28264,0.022,0,0.022,0,nanfunctions.py:225(_nanmin_dispatcher),,,,,,,
26,0.021,0.001,0.022,0.001,{built-in,method,_imp.create_dynamic},,,,,
28427,0.021,0,0.021,0,{method,'items',of,'dict',objects},,,
28264,0.02,0,0.02,0,multiarray.py:77(empty_like),,,,,,,
24265,0.019,0,0.019,0,{method,'pop',of,'list',objects},,,
28263,0.018,0,0.018,0,{method,'popleft',of,'collections.deque',objects},,,
28388,0.016,0,0.016,0,{method,'_is_mine',of,'_multiprocessing.SemLock',objects},,,
1035/1032,0.015,0,0.03,0,{built-in,method,builtins.__build_class__},,,,,
23895,0.015,0,0.015,0,Person.py:62(get_loc),,,,,,,
23241,0.014,0,0.014,0,Person.py:56(age_one),,,,,,,
28265,0.012,0,0.012,0,{method,'append',of,'collections.deque',objects},,,
28388,0.011,0,0.011,0,{method,'_count',of,'_multiprocessing.SemLock',objects},,,
21215,0.01,0,0.01,0,Trackers.py:207(<lambda>),,,,,,,
14773,0.01,0,0.01,0,{method,'index',of,'list',objects},,,
11165,0.009,0,0.009,0,{method,'insert',of,'list',objects},,,
658/1,0.008,0,964.564,964.564,{built-in,method,builtins.exec},,,,,
531/106,0.008,0,0.023,0,sre_parse.py:491(_parse),,,,,,,
873,0.008,0,0.012,0,Person.py:24(__init__),,,,,,,
873,0.006,0,0.026,0,Counters.py:149(get_final_count),,,,,,,
648,0.006,0,0.022,0,<frozen,importlib._bootstrap_external>:1215(find_spec),,,,,,
4189,0.006,0,0.006,0,{method,'format',of,'str',objects},,,
642,0.006,0,0.006,0,{method,'sub',of,'_sre.SRE_Pattern',objects},,,
873,0.005,0,0.031,0,Trackers.py:56(notify_on_track_lost_event),,,,,,,
22708,0.005,0,0.005,0,{built-in,method,builtins.id},,,,,
1455,0.005,0,0.005,0,{built-in,method,posix.stat},,,,,
873,0.004,0,0.016,0,Person.py:74(__init__),,,,,,,
1136/97,0.004,0,0.013,0,sre_compile.py:64(_compile),,,,,,,
319,0.004,0,0.007,0,<frozen,importlib._bootstrap_external>:816(get_data),,,,,,
456,0.004,0,0.005,0,sre_compile.py:248(_optimize_charset),,,,,,,
99,0.004,0,0.004,0,{built-in,method,time.strftime},,,,,
101,0.004,0,0.004,0,{method,'flush',of,'_io.TextIOWrapper',objects},,,
317,0.003,0,0.063,0,overrides.py:154(decorator),,,,,,,
380/354,0.003,0,0.043,0,<frozen,importlib._bootstrap>:879(_find_spec),,,,,,
4618/4211,0.003,0,0.017,0,{built-in,method,builtins.hasattr},,,,,
3494,0.003,0,0.007,0,<frozen,importlib._bootstrap_external>:50(_path_join),,,,,,
393,0.003,0,0.005,0,functools.py:43(update_wrapper),,,,,,,
319,0.003,0,0.004,0,<frozen,importlib._bootstrap_external>:419(_validate_bytecode_header),,,,,,
3494,0.003,0,0.004,0,<frozen,importlib._bootstrap_external>:52(<listcomp>),,,,,,
873,0.003,0,0.003,0,Person.py:12(get_next_id),,,,,,,
614,0.003,0,0.003,0,_inspect.py:67(getargs),,,,,,,
10357,0.003,0,0.003,0,sre_parse.py:226(__next),,,,,,,
7192,0.003,0,0.003,0,{built-in,method,builtins.getattr},,,,,
321,0.003,0,0.003,0,{method,'findall',of,'_sre.SRE_Pattern',objects},,,
319,0.003,0,0.003,0,{method,'read',of,'_io.FileIO',objects},,,
100,0.003,0,0.003,0,{method,'writerow',of,'_csv.writer',objects},,,
367/4,0.002,0,0.303,0.076,<frozen,importlib._bootstrap>:659(_load_unlocked),,,,,,
385/4,0.002,0,0.303,0.076,<frozen,importlib._bootstrap>:966(_find_and_load),,,,,,
319,0.002,0,0.051,0,<frozen,importlib._bootstrap_external>:729(get_code),,,,,,
527,0.002,0,0.043,0,re.py:278(_compile),,,,,,,
363/362,0.002,0,0.025,0,<frozen,importlib._bootstrap_external>:1101(_get_spec),,,,,,
321,0.002,0,0.012,0,textwrap.py:415(dedent),,,,,,,
287,0.002,0,0.01,0,overrides.py:72(verify_matching_signatures),,,,,,,
363,0.002,0,0.007,0,<frozen,importlib._bootstrap>:510(_init_module_attrs),,,,,,
638,0.002,0,0.005,0,<frozen,importlib._bootstrap_external>:246(cache_from_source),,,,,,
8322,0.002,0,0.005,0,sre_parse.py:247(get),,,,,,,
4960,0.002,0,0.003,0,sre_parse.py:157(__getitem__),,,,,,,
1824/769,0.002,0,0.003,0,sre_parse.py:167(getwidth),,,,,,,
749,0.002,0,0.002,0,<frozen,importlib._bootstrap>:94(acquire),,,,,,
618,0.002,0,0.002,0,_inspect.py:28(isfunction),,,,,,,
