ncalls tottime percall cumtime percall filename:lineno(function)
75 0.000 0.000 0.000 0.000 :0(lower)
32 0.000 0.000 0.000 0.000 :0(lstat)
31 0.000 0.000 0.000 0.000 :0(lstrip)
2 0.000 0.000 0.000 0.000 :0(maketrans)
175 0.003 0.000 0.003 0.000 :0(match)
226 0.000 0.000 0.001 0.000 :0(max)
2779 0.004 0.000 0.004 0.000 :0(min)
46568 0.516 0.000 0.516 0.000 :0(minMaxLoc)
1 0.000 0.000 0.000 0.000 :0(mkdir)
1515 0.022 0.000 0.022 0.000 :0(moments)
5502 0.271 0.000 0.271 0.000 :0(morphologyEx)
4 0.002 0.000 0.002 0.000 :0(moveWindow)
15 0.000 0.000 0.000 0.000 :0(mro)
11004 0.222 0.000 0.222 0.000 :0(namedWindow)
73 0.001 0.000 0.006 0.000 :0(next)
3 0.000 0.000 0.000 0.000 :0(nl_langinfo)
8 0.000 0.000 0.001 0.000 :0(open)
1 0.000 0.000 0.000 0.000 :0(openssl_md5)
1 0.000 0.000 0.000 0.000 :0(openssl_sha1)
1 0.000 0.000 0.000 0.000 :0(openssl_sha224)
1 0.000 0.000 0.000 0.000 :0(openssl_sha256)
1 0.000 0.000 0.000 0.000 :0(openssl_sha384)
1 0.000 0.000 0.000 0.000 :0(openssl_sha512)
2578 0.008 0.000 0.008 0.000 :0(ord)
36 0.000 0.000 0.000 0.000 :0(partition)
3 0.000 0.000 0.000 0.000 :0(pipe)
3399 0.021 0.000 0.021 0.000 :0(pointPolygonTest)
3198 0.007 0.000 0.007 0.000 :0(pop)
2750 0.007 0.000 0.007 0.000 :0(popleft)
103 0.002 0.000 0.002 0.000 :0(print)
10745 0.190 0.000 0.190 0.000 :0(putText)
2 0.000 0.000 0.000 0.000 :0(putenv)
324 0.005 0.000 0.005 0.000 :0(read)
1 0.000 0.000 0.000 0.000 :0(reader)
1 0.000 0.000 0.000 0.000 :0(readlink)
1428 0.009 0.000 0.009 0.000 :0(rectangle)
8285 0.163 0.000 0.163 0.000 :0(reduce)
3 0.000 0.000 0.000 0.000 :0(register)
3 0.000 0.000 0.000 0.000 :0(register_dialect)
11385 0.045 0.000 0.045 0.000 :0(release)
1874 0.004 0.000 0.004 0.000 :0(release_lock)
39 0.000 0.000 0.000 0.000 :0(remove)
111 0.000 0.000 0.000 0.000 :0(replace)
81 0.000 0.000 0.000 0.000 :0(repr)
2752 0.019 0.000 0.019 0.000 :0(reshape)
24 0.000 0.000 0.000 0.000 :0(rfind)
