Time,In,Out
1579769145.8791564,0,0
Time,In,Out
1579769508.3370585,0,0
Time,In,Out
1579769606.29288,0,0
Time,In,Out
1579770579.101199,0,0
Time,In,Out
1579770619.1750884,1,0
1579770623.237107,1,1
Time,In,Out
1579771636.905955,1,1
Time,In,Out
1579772120.2044277,1,1
Time,In,Out
1579772251.47903,1,1
Time,In,Out
1579772585.2678032,1,1
Time,In,Out
1579772643.5534537,1,1
Time,In,Out
1579772699.9568508,1,1
Time,In,Out
1579772807.4239812,2,1
1579772808.8664923,2,1
Time,In,Out
1579772872.0891047,2,2
1579772882.8177812,2,3
1579772906.954165,2,3
Time,In,Out
1579772950.8002903,2,4
1579772951.0642726,2,5
1579772957.1971958,2,6
1579772957.3035095,3,6
Time,In,Out
1579773230.7077062,4,6
1579773247.6164863,4,7
Time,In,Out
1579773367.1437159,4,8
1579773373.02961,4,9
1579773373.5352333,4,9
Time,In,Out
1579773408.5351098,4,9
Time,In,Out
1579776923.7631729,4,10
1579776953.8052385,5,10
1579776957.0669475,5,11
Time,In,Out
1579777093.4493706,5,11
Time,In,Out
1579777184.6014972,5,12
Time,In,Out
1579783716.3233695,6,12
Time,In,Out
1579783951.2810705,6,12
Time,In,Out
1579783988.3335788,6,12
Time,In,Out
1579784032.9517841,7,12
1579784038.8748114,7,13
1579784038.9859004,7,14
Time,In,Out
1579787382.7746255,7,14
Time,In,Out
1579787837.723688,7,15
Time,In,Out
1579787945.0600376,8,15
Time,In,Out
1579787994.0289838,8,15
Time,In,Out
1579788401.1256557,8,15
