Time,In,Out
1578994383.170832,0,1
1578994384.1553502,0,2
1578994386.769439,0,3
1578994390.2994735,1,3
1578994392.9918146,2,3
1578994395.369984,2,4
1578994400.6166253,2,5
1578994405.1209707,3,5
1578994406.9505286,3,6
1578994506.430225,3,6
Time,In,Out
1578996543.6406898,3,6
Time,In,Out
1578996667.9715831,3,6
Time,In,Out
1578996862.481893,3,6
Time,In,Out
1578996944.9286823,3,6
Time,In,Out
1578997028.4072819,3,6
Time,In,Out
1578997173.5438771,3,6
Time,In,Out
1578997703.2041564,3,6
Time,In,Out
1578997867.0362923,3,6
Time,In,Out
1578997915.9506347,3,6
Time,In,Out
1578997953.5574386,3,6
Time,In,Out
1578998069.274594,3,6
Time,In,Out
1578998286.9240835,3,6
Time,In,Out
1578998441.0190992,3,6
Time,In,Out
1578998705.4819705,3,6
Time,In,Out
1578998758.0036967,3,6
Time,In,Out
1578998888.6030655,4,6
Time,In,Out
1578999175.3061812,4,6
Time,In,Out
1578999310.6086712,4,6
Time,In,Out
1579003900.7948828,4,6
Time,In,Out
1579003955.1379888,4,6
Time,In,Out
1579004087.7024336,4,6
Time,In,Out
1579004182.0285313,4,6
Time,In,Out
1579004213.8894858,4,6
Time,In,Out
1579004340.378439,5,6
1579004351.3321218,5,6
Time,In,Out
1579004794.1160536,5,6
Time,In,Out
1579005028.0882487,5,6
Time,In,Out
1579005258.5075154,5,6
Time,In,Out
1579005322.808124,5,6
Time,In,Out
1579005369.7248702,5,6
Time,In,Out
1579005393.1084735,5,6
Time,In,Out
1579005510.5487623,5,6
Time,In,Out
1579005571.6502914,6,6
1579005581.3021781,6,6
Time,In,Out
1579005654.2731826,6,6
Time,In,Out
1579005697.2678008,6,6
Time,In,Out
1579005734.6012056,6,6
Time,In,Out
1579005826.2059908,6,6
Time,In,Out
1579005885.7256656,6,6
Time,In,Out
1579005928.3430212,6,6
Time,In,Out
1579006137.016106,6,6
Time,In,Out
1579006164.9836755,7,6
1579006169.8301003,8,6
1579006171.2472706,8,7
1579006226.5900068,8,7
Time,In,Out
1579015577.637968,1,0
Time,In,Out
1579015862.9423232,1,0
