Time,In,Out
1572441516.6984496,1,0
1572441519.7603936,2,0
1572441520.8348434,2,1
1572441523.1830328,3,1
1572441524.5702753,3,2
1572441527.2030551,4,2
1572441530.5945754,5,2
1572441530.8591,6,2
1572441531.912346,6,3
1572441535.0394313,6,4
1572441536.3189368,7,4
1572441536.9298584,8,4
1572441537.9274294,9,4
1572441538.6111567,9,5
1572441539.142225,9,6
1572441540.4144602,10,6
1572441543.0632708,11,6
1572441544.6936598,11,7
1572441545.723963,12,7
1572441545.9991558,13,7
1572441549.6851127,13,8
1572441552.5207667,13,9
1572441554.1947167,14,9
1572441554.7956533,15,9
1572441557.0723844,16,9
1572441559.545426,17,9
1572441562.7149389,17,10
1572441564.0155694,18,10
1572441564.923275,18,11
1572441567.2462893,19,11
1572441569.5470529,20,11
1572441573.7653265,21,11
1572441584.3251553,21,11
