Time,In,Out
1581183031.3968816,0,0
Time,In,Out
1581183092.677557,0,0
Time,In,Out
1581183133.731919,0,0
Time,In,Out
1581183171.5355377,0,0
Time,In,Out
1581183207.8455038,0,0
Time,In,Out
1581183243.8106868,0,0
Time,In,Out
1581183285.2193165,0,0
Time,In,Out
1581183326.7335699,0,0
Time,In,Out
1581183368.613156,0,0
Time,In,Out
1581183412.1348,0,0
Time,In,Out
1581183480.40486,0,0
Time,In,Out
1581186700.1806664,0,0
Time,In,Out
1581186839.2998984,0,0
Time,In,Out
1581186880.4916766,0,0
Time,In,Out
1581186932.3505857,1,0
1581186945.3620534,1,1
1581186958.0468228,2,1
1581186966.4879618,2,1
