Time,In,Out
1579684583.665805,0,0
Time,In,Out
1579684627.7355208,0,0
Time,In,Out
1579684666.3959627,0,0
Time,In,Out
1579684775.884297,0,0
Time,In,Out
1579684855.8303735,0,0
Time,In,Out
1579684917.543165,1,0
Time,In,Out
1579684982.7842402,2,0
1579684985.0727081,3,0
1579684990.9370484,4,0
1579684991.000369,5,0
1579684992.6866803,6,0
1579684994.1640468,7,0
1579684995.5082407,8,0
1579684995.8865452,8,1
Time,In,Out
1579685190.3040648,8,1
Time,In,Out
1579685266.6583276,8,1
Time,In,Out
1579685345.3315094,8,1
Time,In,Out
1579685387.1207082,8,1
Time,In,Out
1579685490.0099802,9,1
1579685494.0823174,10,1
Time,In,Out
1579697825.0866244,10,2
1579697826.2377248,11,2
1579697826.7541034,11,3
1579697828.711876,11,4
1579697829.0050218,11,5
Time,In,Out
1579697871.8415153,11,6
1579697874.7217276,12,6
Time,In,Out
1579698010.804293,12,6
Time,In,Out
1579698076.044821,12,6
Time,In,Out
1579718832.2075977,13,6
1579718845.0626373,13,6
Time,In,Out
1579719571.1386278,13,7
1579719576.217926,13,8
Time,In,Out
1579719665.638194,14,8
1579719668.6008193,14,9
Time,In,Out
1579719787.973875,15,9
1579719791.5042007,16,9
1579719802.120087,16,10
Time,In,Out
1579722130.706881,16,11
1579722130.9767663,17,11
1579722134.5325916,17,11
Time,In,Out
1579722280.8102312,17,11
Time,In,Out
1579722347.815291,17,12
1579722370.4684,17,13
1579722376.3397586,17,14
1579722384.5406215,17,15
1579722405.655549,18,15
1579722537.403765,18,16
Time,In,Out
1579723424.9552271,18,16
Time,In,Out
1579723484.4545143,18,16
Time,In,Out
1579723556.3372025,18,16
Time,In,Out
1579723667.188592,18,16
Time,In,Out
1579723736.1105206,18,16
Time,In,Out
1579724061.4878623,18,16
Time,In,Out
1579724139.8326395,19,16
1579724150.8293626,20,16
1579724158.2109656,20,16
Time,In,Out
1579724203.2921467,20,16
Time,In,Out
1579724306.6595225,21,16
1579724313.9614275,21,17
1579724318.6924307,21,18
1579724321.5537126,21,18
Time,In,Out
1579724363.0806487,21,19
1579724363.754542,22,19
1579724373.425165,23,19
1579724405.9767907,23,20
1579724417.9967377,23,21
1579724448.9489112,24,21
1579724454.457993,24,22
