Time,In,Out
1579960535.5268962,0,0
Time,In,Out
1579968021.089647,0,0
Time,In,Out
1579968160.6373227,0,0
Time,In,Out
1579968276.5327873,0,0
Time,In,Out
1579968348.697674,0,0
Time,In,Out
1579968409.535651,0,0
Time,In,Out
1579968521.8695319,0,1
1579968544.297597,0,1
Time,In,Out
1579968571.304839,0,2
Time,In,Out
1579968613.3881702,0,2
Time,In,Out
1579968700.324841,0,3
Time,In,Out
1579968767.6270998,0,3
Time,In,Out
1579968863.7577262,0,4
1579968865.3601222,0,5
1579968865.3601832,1,5
Time,In,Out
1579968989.9780977,1,6
Time,In,Out
1579969147.3132446,1,6
Time,In,Out
1579969255.6445405,2,6
Time,In,Out
1579969334.574254,2,6
Time,In,Out
1579969411.339949,2,6
Time,In,Out
1579969673.5287843,2,6
Time,In,Out
1579969812.4256892,2,6
Time,In,Out
1579969907.0804873,2,6
Time,In,Out
1579970005.4902234,2,7
Time,In,Out
1579970102.512647,2,7
Time,In,Out
1579970263.5453064,2,7
Time,In,Out
1579970373.5655336,3,7
1579970442.6885011,3,8
Time,In,Out
1579970492.9871953,3,8
Time,In,Out
1579970586.5585577,3,8
Time,In,Out
1579970716.543074,3,8
Time,In,Out
1579970814.2743907,3,8
Time,In,Out
1579970960.637744,4,8
1579970966.662927,4,8
Time,In,Out
1579972126.0112884,4,8
Time,In,Out
1579975348.0161042,4,8
Time,In,Out
1579990592.952801,4,8
Time,In,Out
1579990687.2032256,4,8
Time,In,Out
1579990728.765141,4,8
Time,In,Out
1579990775.2180283,4,9
1579990775.2641358,4,10
Time,In,Out
1579990870.9615824,4,10
Time,In,Out
1579990926.112392,4,10
Time,In,Out
1579990975.3147447,4,10
Time,In,Out
1579991029.2408223,5,10
1579991037.6094806,6,10
1579991050.7858438,6,10
Time,In,Out
1579991115.1121933,7,10
1579991115.289469,7,10
Time,In,Out
1579991185.2193801,7,10
Time,In,Out
1579991267.574921,8,10
1579991276.6679142,8,11
1579991277.6298027,9,11
1579991279.2004592,9,12
Time,In,Out
1579991336.106108,9,13
1579991336.2679007,10,13
Time,In,Out
1579991448.377381,10,13
Time,In,Out
1579991503.8712437,10,14
1579991520.876334,11,14
1579991520.9193401,11,15
1579991530.3537452,11,15
Time,In,Out
1579991603.6708999,11,16
1579991609.6705225,11,16
Time,In,Out
1579991727.8429034,11,16
Time,In,Out
1579991754.5332642,11,16
Time,In,Out
1579991830.611078,11,16
Time,In,Out
1579991979.7998013,11,16
Time,In,Out
1579992031.2846923,11,16
Time,In,Out
1579992098.9538271,11,16
Time,In,Out
1579992168.2360747,11,17
1579992221.4755614,11,17
Time,In,Out
1579992411.2671046,12,17
1579992421.6282728,12,17
Time,In,Out
1579992686.147007,12,17
Time,In,Out
1579992721.0316763,12,17
Time,In,Out
1579992920.464523,12,17
Time,In,Out
1579993087.6117628,12,17
Time,In,Out
1579993146.9106407,13,17
1579993186.6928146,13,17
