Time,In,Out
1573050779.1331701,1,0
1573050779.9916136,2,0
1573050788.5408952,2,1
1573050788.7038386,2,2
1573050820.1976058,3,2
1573050825.8619282,4,2
1573050828.8327932,4,3
1573050885.047018,4,3
