Time,In,Out
1573565106.7671647,1,0
1573565109.1600535,2,0
1573565113.8709383,3,0
1573565116.646261,3,1
1573565120.815989,4,1
1573565124.6348882,5,1
1573565137.7014933,6,1
1573565140.3427074,6,2
1573565143.9532208,7,2
1573565147.723312,8,2
1573565161.3600345,8,2
Time,In,Out
1573566167.7573447,9,2
1573566170.8432188,10,2
1573566172.7495108,10,3
1573566175.3386295,11,3
1573566176.8436863,12,3
1573566180.9112267,12,4
1573566211.0795972,12,5
1573566211.2177885,13,5
1573566215.1320703,14,5
1573566239.5654223,14,5
Time,In,Out
1573567313.1628003,14,5
Time,In,Out
1573571839.78256,14,5
Time,In,Out
1573582679.0055223,14,5
Time,In,Out
1573589635.382267,14,5
Time,In,Out
1573589744.3572931,14,5
Time,In,Out
1573590319.0253313,14,5
Time,In,Out
1573590498.5052242,14,6
1573590506.6580067,14,7
1573590530.6933148,14,8
1573590532.477043,15,8
1573590533.7491555,15,9
1573590676.044752,15,10
1573590862.4076126,16,10
Time,In,Out
1573590930.9184723,16,10
1573590948.05784,16,10
Time,In,Out
1573593423.0377026,16,11
1573594492.5280392,16,12
1573594660.561351,17,12
1573595087.4396691,18,12
1573633783.7691603,18,12
