Time,In,Out
1579430953.8862672,0,0
Time,In,Out
1579430990.895508,0,0
Time,In,Out
1579431169.3891213,0,0
Time,In,Out
1579431245.2592025,0,0
Time,In,Out
1579431307.6884284,1,0
1579431311.3589077,1,1
Time,In,Out
1579431362.704384,1,1
Time,In,Out
1579431412.8009894,1,1
Time,In,Out
1579431481.8605616,1,1
Time,In,Out
1579431534.007778,1,1
Time,In,Out
1579431648.2180054,1,1
Time,In,Out
1579431701.4672627,1,1
Time,In,Out
1579431757.814817,2,1
1579431807.0488944,2,1
Time,In,Out
1579432231.8893085,2,1
Time,In,Out
1579432474.8851051,2,1
Time,In,Out
1579432496.1686258,2,1
Time,In,Out
1579432630.81388,2,1
Time,In,Out
1579433791.2712631,2,1
Time,In,Out
1579434044.77326,2,1
Time,In,Out
1579435903.2991378,2,1
Time,In,Out
1579436038.045994,2,1
Time,In,Out
1579436147.2999392,2,1
Time,In,Out
1579436226.134965,2,1
Time,In,Out
1579436581.3083115,2,1
Time,In,Out
1579436939.763109,2,2
1579436944.0392408,3,2
Time,In,Out
1579441300.2175353,3,2
Time,In,Out
1579441366.7586865,3,3
1579441369.3764985,3,4
1579441370.6347516,3,5
1579441374.9832306,3,5
Time,In,Out
1579441429.772856,4,5
1579441432.2628076,5,5
1579441433.6341965,6,5
1579441434.7752938,7,5
1579441436.2451043,8,5
1579441437.7964127,9,5
1579441439.1523345,10,5
Time,In,Out
1579441504.0126414,10,6
1579441511.2587266,11,6
1579441511.996806,11,7
1579441512.8090158,12,7
1579441518.4167705,12,8
Time,In,Out
1579441687.8306947,12,9
1579441714.9759893,12,9
Time,In,Out
1579441815.9240603,12,10
1579441816.8297899,13,10
1579441817.9800515,14,10
1579441821.347366,14,11
1579441834.3597066,14,11
Time,In,Out
1579441898.1681352,14,12
1579441904.4852357,14,13
1579441915.3430016,15,13
1579441916.5355363,15,13
Time,In,Out
1579441950.0870857,16,13
1579441956.0017643,17,13
1579441959.8749893,18,13
1579441966.182197,19,13
1579441971.0335314,20,13
1579441986.8949285,21,13
Time,In,Out
1579442250.48892,21,13
Time,In,Out
1579443112.3376427,21,13
Time,In,Out
1579443468.9130802,21,13
Time,In,Out
1579443661.7543774,21,13
Time,In,Out
1579443738.6836615,21,13
Time,In,Out
1579444046.540737,0,0
Time,In,Out
1579444077.7464006,0,0
Time,In,Out
1579444410.306649,0,0
Time,In,Out
1579444820.8798418,0,0
Time,In,Out
1579445644.7811239,0,0
