Time,In,Out
1580116098.5783103,0,1
Time,In,Out
1580116194.531592,0,2
1580116208.1795077,0,3
1580116336.9347854,1,3
Time,In,Out
1580148933.7916775,1,3
Time,In,Out
1580149034.228785,1,3
Time,In,Out
1580149097.7456002,1,3
Time,In,Out
1580149161.8990047,1,3
Time,In,Out
1580149525.9521425,1,3
Time,In,Out
1580149560.2447796,1,3
Time,In,Out
1580149757.637747,1,3
Time,In,Out
1580149864.8558521,1,3
Time,In,Out
1580150236.4265106,1,3
Time,In,Out
1580150376.288593,1,3
Time,In,Out
1580150406.833803,1,3
Time,In,Out
1580150669.5884213,1,3
Time,In,Out
1580150998.1784425,1,3
Time,In,Out
1580151298.5858715,1,3
Time,In,Out
1580151361.6459851,1,3
Time,In,Out
1580151485.9820802,1,3
Time,In,Out
1580151522.5667121,1,3
Time,In,Out
1580151625.9555507,1,3
Time,In,Out
1580151674.996931,1,4
1580151679.3906024,2,4
1580151683.7956822,2,5
1580151708.3815422,2,6
1580151713.4674702,3,6
