Time,In,Out
1579601133.4520125,0,0
Time,In,Out
1579601207.4283073,0,0
Time,In,Out
1579603902.852666,0,0
Time,In,Out
1579604075.1177042,0,0
Time,In,Out
1579604121.434623,0,0
Time,In,Out
1579604174.1050553,0,0
Time,In,Out
1579604517.9474967,0,0
Time,In,Out
1579604561.956774,0,0
Time,In,Out
1579604656.4696848,1,0
Time,In,Out
1579604704.7864103,1,0
Time,In,Out
1579604737.420209,1,0
Time,In,Out
1579604922.3866632,1,0
Time,In,Out
1579605030.0735092,1,1
Time,In,Out
1579605115.8487008,1,1
Time,In,Out
1579607768.5887227,1,2
1579607769.0023873,1,3
1579607773.0725389,1,4
1579607864.2867157,1,4
Time,In,Out
1579607903.5143073,2,4
1579607921.5727324,2,5
Time,In,Out
1579614981.078479,3,5
Time,In,Out
1579615166.5912724,3,6
Time,In,Out
1579615296.2258704,3,6
Time,In,Out
1579615360.6034353,3,6
Time,In,Out
1579616726.260846,3,6
Time,In,Out
1579616829.6540291,3,6
