Time,In,Out
1580038767.7245271,0,0
Time,In,Out
1580038986.9110358,0,0
Time,In,Out
1580039030.6122506,0,0
Time,In,Out
1580039086.8250582,0,0
Time,In,Out
1580039543.4912903,0,1
Time,In,Out
1580039762.6509109,1,1
1580039783.6653368,1,2
1580039783.704611,1,3
1580039786.5937576,2,3
Time,In,Out
1580040201.1577396,2,3
Time,In,Out
1580040256.038857,2,3
Time,In,Out
1580041790.6130097,2,3
Time,In,Out
1580041854.264497,2,3
Time,In,Out
1580042001.0211346,2,3
Time,In,Out
1580042147.6572235,2,3
Time,In,Out
1580042191.59721,2,3
Time,In,Out
1580042291.1735768,3,3
1580042292.5359578,3,3
Time,In,Out
1580042418.8299417,4,3
1580042418.9150379,5,3
Time,In,Out
1580042597.8502076,5,3
Time,In,Out
1580042662.3475697,5,3
Time,In,Out
1580042790.6333027,5,3
Time,In,Out
1580042836.7919252,5,3
Time,In,Out
1580042881.419988,5,3
Time,In,Out
1580042915.728299,5,3
Time,In,Out
1580042951.550195,5,3
Time,In,Out
1580042993.8823032,5,3
Time,In,Out
1580043040.973753,5,3
Time,In,Out
1580043286.3988802,5,3
Time,In,Out
1580043340.8776195,5,3
Time,In,Out
1580043420.1466792,5,3
Time,In,Out
1580043638.6396656,5,3
Time,In,Out
1580043666.9322858,5,3
Time,In,Out
1580043774.5853918,5,3
Time,In,Out
1580043823.6977334,6,3
1580043823.8211987,7,3
Time,In,Out
1580043998.2288637,7,3
Time,In,Out
1580044066.562198,7,4
1580044066.6036031,7,5
Time,In,Out
1580044104.6399713,7,5
Time,In,Out
1580044157.136886,7,5
Time,In,Out
1580044208.6047573,7,5
Time,In,Out
1580044318.9220662,7,5
Time,In,Out
1580044423.5095527,7,5
Time,In,Out
1580044465.153015,7,5
Time,In,Out
1580044549.0036461,7,5
Time,In,Out
1580044601.951595,7,6
1580044602.0294287,7,7
1580044609.5507195,8,7
1580044609.6395953,9,7
1580044680.5137758,9,8
1580044690.0051277,9,8
Time,In,Out
1580044742.3108413,10,8
1580044762.0965083,11,8
1580044774.1611955,11,9
1580044789.7214499,12,9
Time,In,Out
1580045093.6117983,13,9
Time,In,Out
1580046093.793998,13,9
Time,In,Out
1580046151.8904097,14,9
Time,In,Out
1580046840.5312026,14,9
Time,In,Out
1580047196.0986955,14,9
Time,In,Out
1580047279.5313568,14,9
Time,In,Out
1580047334.8460283,14,9
Time,In,Out
1580047384.5793195,14,9
Time,In,Out
1580047428.3207614,14,9
Time,In,Out
1580047766.1195168,14,9
Time,In,Out
1580047806.8601873,14,9
Time,In,Out
1580048661.0723286,15,9
1580048670.5771856,15,10
Time,In,Out
1580048708.990283,16,10
Time,In,Out
1580048897.4008236,17,10
1580048897.752496,18,10
1580048906.8938923,19,10
1580048906.9502728,19,11
1580048984.8121645,20,11
1580048992.6727927,20,12
1580049003.588472,20,13
1580049013.100536,21,13
1580049017.1206927,22,13
Time,In,Out
1580049179.5257838,22,14
Time,In,Out
1580049239.6759627,23,14
1580049244.3718019,24,14
Time,In,Out
1580049287.441335,24,15
1580049287.663313,24,16
1580049303.6031127,25,16
Time,In,Out
1580049354.7966821,26,16
1580049355.3846297,27,16
Time,In,Out
1580049486.5886643,28,16
1580049487.1967444,29,16
1580049503.73945,29,17
1580049519.243764,29,18
1580049519.3260643,29,19
Time,In,Out
1580049761.0532954,30,19
1580049873.7475386,31,19
1580049873.8786597,32,19
Time,In,Out
1580051452.943896,32,19
Time,In,Out
1580051494.993111,32,19
Time,In,Out
1580051579.7787912,32,19
Time,In,Out
1580051748.6601303,33,19
Time,In,Out
1580051816.6130412,34,19
Time,In,Out
1580052146.708,34,19
Time,In,Out
1580052274.737736,34,20
1580052376.9522731,34,21
Time,In,Out
1580054581.9344225,34,21
Time,In,Out
1580054740.6621761,34,21
Time,In,Out
1580054770.7512822,34,21
Time,In,Out
1580054802.6448438,34,21
Time,In,Out
1580054959.6762846,35,21
1580054986.0394766,35,21
Time,In,Out
1580055517.9992936,35,22
1580055519.0396562,35,22
Time,In,Out
1580055634.1871111,36,22
1580055643.066758,36,22
Time,In,Out
1580055774.6769192,37,22
1580055788.5106761,38,22
1580055880.505962,38,23
1580055889.3312197,38,24
Time,In,Out
1580070097.8469636,38,24
Time,In,Out
1580070204.236165,38,24
Time,In,Out
1580070305.0300224,38,24
Time,In,Out
1580070377.4992135,38,24
Time,In,Out
1580071520.3094566,38,24
