Time,In,Out
1576248209.452862,0,0
Time,In,Out
1576248283.0795364,1,0
1576248297.471274,2,0
1576248300.8188534,3,0
1576248306.0528748,4,0
1576248309.5270762,4,1
1576248312.4703236,5,1
1576248337.709804,6,1
1576248343.9926724,6,2
1576248349.9459698,7,2
1576248352.353848,7,3
1576248354.1288085,8,3
1576248359.5160716,9,3
1576248365.3944623,9,4
1576248365.9700541,9,5
1576248413.005464,10,5
1576248530.3425949,10,5
