CMDLINE /usr/bin/python3 main.py
MEM 1.335938 1578322929.3099
MEM 21.121094 1578322929.4102
MEM 33.351562 1578322929.5105
MEM 40.343750 1578322929.6108
MEM 48.761719 1578322929.7112
MEM 75.769531 1578322929.8115
MEM 76.019531 1578322929.9119
MEM 76.019531 1578322930.0130
MEM 76.019531 1578322930.1138
MEM 76.019531 1578322930.2148
MEM 76.019531 1578322930.3158
MEM 76.019531 1578322930.4168
MEM 76.019531 1578322930.5177
MEM 76.019531 1578322930.6185
MEM 76.019531 1578322930.7193
MEM 76.019531 1578322930.8201
MEM 76.019531 1578322930.9212
MEM 76.019531 1578322931.0223
MEM 76.019531 1578322931.1233
MEM 76.019531 1578322931.2241
MEM 76.019531 1578322931.3249
MEM 76.019531 1578322931.4256
MEM 76.019531 1578322931.5264
MEM 76.019531 1578322931.6272
MEM 76.019531 1578322931.7280
MEM 76.019531 1578322931.8287
MEM 76.019531 1578322931.9294
MEM 76.019531 1578322932.0302
MEM 76.019531 1578322932.1308
MEM 76.019531 1578322932.2314
MEM 76.019531 1578322932.3322
MEM 76.019531 1578322932.4330
MEM 76.019531 1578322932.5337
MEM 76.019531 1578322932.6344
MEM 76.019531 1578322932.7351
MEM 76.019531 1578322932.8358
MEM 76.019531 1578322932.9365
MEM 76.019531 1578322933.0370
MEM 76.019531 1578322933.1377
MEM 76.019531 1578322933.2384
MEM 76.019531 1578322933.3394
MEM 76.019531 1578322933.4401
MEM 76.019531 1578322933.5409
MEM 76.019531 1578322933.6416
MEM 76.019531 1578322933.7425
MEM 76.019531 1578322933.8428
MEM 76.019531 1578322933.9436
MEM 76.019531 1578322934.0445
MEM 76.019531 1578322934.1454
MEM 76.019531 1578322934.2466
MEM 76.019531 1578322934.3473
MEM 76.019531 1578322934.4482
MEM 76.019531 1578322934.5488
MEM 76.019531 1578322934.6495
MEM 76.019531 1578322934.7504
MEM 76.019531 1578322934.8512
MEM 76.019531 1578322934.9518
MEM 76.019531 1578322935.0526
MEM 76.019531 1578322935.1529
MEM 76.019531 1578322935.2534
MEM 76.019531 1578322935.3542
MEM 76.019531 1578322935.4548
MEM 76.019531 1578322935.5555
MEM 76.019531 1578322935.6564
MEM 76.019531 1578322935.7572
MEM 76.019531 1578322935.8580
MEM 76.019531 1578322935.9587
MEM 76.019531 1578322936.0595
MEM 76.019531 1578322936.1604
MEM 76.019531 1578322936.2612
MEM 76.019531 1578322936.3616
MEM 76.019531 1578322936.4619
MEM 76.019531 1578322936.5627
MEM 76.019531 1578322936.6634
MEM 76.019531 1578322936.7641
MEM 76.019531 1578322936.8648
MEM 76.019531 1578322936.9655
MEM 76.019531 1578322937.0663
MEM 76.019531 1578322937.1666
MEM 76.019531 1578322937.2672
MEM 76.019531 1578322937.3679
MEM 76.019531 1578322937.4685
MEM 76.019531 1578322937.5692
MEM 76.019531 1578322937.6698
MEM 76.019531 1578322937.7704
MEM 76.019531 1578322937.8712
MEM 76.019531 1578322937.9718
MEM 76.019531 1578322938.0726
MEM 76.019531 1578322938.1729
MEM 76.019531 1578322938.2735
MEM 76.019531 1578322938.3739
MEM 76.019531 1578322938.4741
MEM 76.019531 1578322938.5744
MEM 76.019531 1578322938.6751
MEM 76.019531 1578322938.7754
MEM 76.019531 1578322938.8762
MEM 76.019531 1578322938.9770
MEM 76.019531 1578322939.0773
MEM 76.019531 1578322939.1784
MEM 76.019531 1578322939.2788
MEM 76.019531 1578322939.3795
MEM 76.019531 1578322939.4803
MEM 76.019531 1578322939.5812
MEM 76.019531 1578322939.6817
MEM 76.019531 1578322939.7825
MEM 76.019531 1578322939.8833
MEM 76.019531 1578322939.9840
MEM 76.019531 1578322940.0848
