CMDLINE /usr/bin/python3 main.py
MEM 3.695312 1578323544.8238
MEM 19.781250 1578323544.9330
MEM 33.890625 1578323545.0389
MEM 41.671875 1578323545.1466
MEM 49.535156 1578323545.2603
MEM 147.367188 1578323545.3673
MEM 173.882812 1578323545.4796
MEM 173.882812 1578323545.6068
MEM 173.882812 1578323545.7330
MEM 173.882812 1578323545.8620
MEM 173.882812 1578323546.0001
MEM 173.882812 1578323546.1080
MEM 173.882812 1578323546.2395
MEM 173.882812 1578323546.3657
MEM 173.882812 1578323546.4746
MEM 173.882812 1578323546.6011
MEM 173.882812 1578323546.7117
MEM 173.882812 1578323546.8246
MEM 173.882812 1578323546.9455
MEM 173.882812 1578323547.0718
MEM 173.882812 1578323547.1992
MEM 173.882812 1578323547.3262
MEM 173.882812 1578323547.4530
MEM 173.882812 1578323547.5791
MEM 173.882812 1578323547.7043
MEM 173.882812 1578323547.8119
MEM 173.882812 1578323547.9370
MEM 173.882812 1578323548.0643
MEM 173.882812 1578323548.1912
MEM 173.882812 1578323548.3177
MEM 173.882812 1578323548.4265
MEM 173.882812 1578323548.5542
MEM 173.882812 1578323548.6684
MEM 173.882812 1578323548.7932
MEM 173.882812 1578323548.9195
MEM 173.882812 1578323549.0465
MEM 173.882812 1578323549.1797
MEM 173.882812 1578323549.2896
MEM 173.882812 1578323549.4205
MEM 173.882812 1578323549.5301
MEM 173.882812 1578323549.6528
MEM 173.882812 1578323549.7852
MEM 173.882812 1578323549.8996
MEM 178.308594 1578323550.0186
MEM 178.308594 1578323550.1420
MEM 178.308594 1578323550.2562
MEM 178.308594 1578323550.3837
MEM 178.308594 1578323550.5108
MEM 178.308594 1578323550.6382
MEM 178.308594 1578323550.7658
MEM 178.308594 1578323550.8727
MEM 178.308594 1578323550.9803
MEM 178.308594 1578323551.0881
MEM 178.308594 1578323551.1946
MEM 178.308594 1578323551.3026
MEM 178.308594 1578323551.4307
MEM 178.308594 1578323551.5571
MEM 178.308594 1578323551.6627
MEM 178.308594 1578323551.7750
MEM 178.308594 1578323551.8871
MEM 178.308594 1578323552.0131
MEM 178.308594 1578323552.1394
MEM 178.308594 1578323552.2649
MEM 178.308594 1578323552.3834
MEM 178.308594 1578323552.5091
MEM 178.308594 1578323552.6230
MEM 178.308594 1578323552.7431
MEM 178.308594 1578323552.8630
MEM 178.308594 1578323552.9761
MEM 178.308594 1578323553.1052
MEM 178.308594 1578323553.2218
MEM 178.308594 1578323553.3334
MEM 178.308594 1578323553.4457
MEM 178.308594 1578323553.5546
MEM 178.308594 1578323553.6656
MEM 178.308594 1578323553.7986
MEM 178.308594 1578323553.9280
MEM 178.308594 1578323554.0567
MEM 178.308594 1578323554.1774
MEM 178.308594 1578323554.3194
MEM 178.308594 1578323554.4462
MEM 214.222656 1578323554.5625
MEM 214.511719 1578323554.6699
MEM 214.617188 1578323554.7994
MEM 214.757812 1578323554.9271
MEM 214.972656 1578323555.0511
MEM 215.226562 1578323555.1586
MEM 215.226562 1578323555.2858
MEM 215.484375 1578323555.4142
MEM 215.742188 1578323555.5439
MEM 215.742188 1578323555.6675
MEM 216.000000 1578323555.7833
MEM 216.000000 1578323555.8992
MEM 216.257812 1578323556.0078
MEM 216.257812 1578323556.1372
MEM 216.515625 1578323556.2649
MEM 216.515625 1578323556.3946
MEM 216.773438 1578323556.5262
MEM 216.773438 1578323556.6570
MEM 217.031250 1578323556.7873
MEM 217.031250 1578323556.9210
MEM 217.289062 1578323557.0504
