CMDLINE /usr/bin/python3 main.py
MEM 178.796875 1578323582.7768
MEM 178.796875 1578323582.8923
MEM 178.796875 1578323583.0178
MEM 178.796875 1578323583.1472
MEM 178.796875 1578323583.2714
MEM 178.796875 1578323583.3841
MEM 178.796875 1578323583.4956
MEM 178.796875 1578323583.6220
MEM 178.796875 1578323583.7476
MEM 178.796875 1578323583.8726
MEM 178.796875 1578323583.9963
MEM 178.796875 1578323584.1182
MEM 178.796875 1578323584.2395
MEM 178.796875 1578323584.3592
MEM 178.796875 1578323584.4834
MEM 178.796875 1578323584.5996
MEM 215.078125 1578323584.7204
MEM 215.105469 1578323584.8290
MEM 215.210938 1578323584.9366
MEM 215.359375 1578323585.0538
MEM 215.457031 1578323585.1683
MEM 215.882812 1578323585.2810
MEM 215.882812 1578323585.4097
MEM 216.140625 1578323585.5296
MEM 216.140625 1578323585.6417
MEM 216.398438 1578323585.7708
MEM 216.398438 1578323585.8996
MEM 216.656250 1578323586.0242
MEM 216.656250 1578323586.1525
MEM 216.914062 1578323586.2811
MEM 216.914062 1578323586.4125
MEM 217.171875 1578323586.5367
MEM 217.171875 1578323586.6634
MEM 217.429688 1578323586.7891
MEM 217.429688 1578323586.9156
MEM 217.687500 1578323587.0418
MEM 217.945312 1578323587.1682
MEM 217.945312 1578323587.2939
MEM 218.203125 1578323587.4216
MEM 218.203125 1578323587.5568
MEM 218.460938 1578323587.6645
MEM 218.460938 1578323587.7703
MEM 218.460938 1578323587.8760
MEM 218.460938 1578323587.9817
MEM 218.460938 1578323588.0875
MEM 237.218750 1578323588.1960
MEM 237.449219 1578323588.3159
MEM 238.218750 1578323588.4263
MEM 238.472656 1578323588.5409
MEM 238.472656 1578323588.6540
MEM 238.472656 1578323588.7827
MEM 238.472656 1578323588.9139
MEM 238.472656 1578323589.0240
MEM 238.472656 1578323589.1494
MEM 238.472656 1578323589.2654
MEM 238.472656 1578323589.3823
MEM 238.472656 1578323589.4989
MEM 238.472656 1578323589.6234
MEM 238.472656 1578323589.7400
MEM 238.472656 1578323589.8608
MEM 238.472656 1578323589.9733
MEM 238.472656 1578323590.0889
MEM 238.472656 1578323590.2050
MEM 238.472656 1578323590.3144
MEM 238.472656 1578323590.4322
MEM 238.472656 1578323590.5480
MEM 238.472656 1578323590.6667
MEM 238.472656 1578323590.7841
MEM 238.472656 1578323590.9012
MEM 238.472656 1578323591.0166
MEM 238.472656 1578323591.1384
MEM 238.472656 1578323591.2530
MEM 238.472656 1578323591.3700
MEM 238.472656 1578323591.4831
MEM 238.472656 1578323591.5997
MEM 238.472656 1578323591.7153
MEM 238.472656 1578323591.8350
MEM 238.472656 1578323591.9555
MEM 238.472656 1578323592.0864
MEM 238.472656 1578323592.2068
MEM 238.472656 1578323592.3218
MEM 238.472656 1578323592.4515
MEM 238.472656 1578323592.5692
MEM 238.472656 1578323592.6923
MEM 238.472656 1578323592.8109
MEM 238.472656 1578323592.9286
MEM 238.472656 1578323593.0473
MEM 238.472656 1578323593.1652
MEM 238.472656 1578323593.2831
MEM 238.472656 1578323593.4078
MEM 238.472656 1578323593.5250
MEM 238.472656 1578323593.6428
MEM 238.472656 1578323593.7593
MEM 238.472656 1578323593.8769
MEM 238.472656 1578323593.9934
MEM 238.472656 1578323594.1116
MEM 238.472656 1578323594.2292
MEM 238.472656 1578323594.3408
MEM 238.472656 1578323594.4526
MEM 238.472656 1578323594.5709
MEM 238.472656 1578323594.6856
MEM 238.472656 1578323594.7991
MEM 238.472656 1578323594.9143
MEM 238.472656 1578323595.0307
MEM 238.472656 1578323595.1501
MEM 238.472656 1578323595.2640
MEM 238.472656 1578323595.3756
